"scenario_index","scenario_id","scenario_type","rep","q_epsilon_target","q_epsilon_theoretical","q_epsilon_empirical","range_block_ratio","microscale","true_nugget","partial_sill","true_sill","sigma2_eps","observed_nugget","observed_sill","spherical_range","spherical_range_block_units","target_r2_block","prediction_relation","n_blocks_side","fine_per_block","n_sample","sigma2_obs_theoretical","sigma2_obs_empirical","sigma2_delta_theoretical","sigma2_delta_empirical","cov_point_block_theoretical","var_block_theoretical","lambda_theoretical","lambda_empirical","n_negative_eigenvalues","r_obs","R2_obs","RMSE_obs","r_true_point","R2_true_point","RMSE_true_point","r_block_true","R2_block_true","RMSE_block_true","r_ME","R2_ME","RMSE_ME","r_B_hat","R2_B_hat","RMSE_B_hat","lower_value_holds"
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",23,0.25,0.25,0.250999005795344,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.32802650861941,0.261051456779261,0.272803110780462,NA,0.738948543220739,0.554211407415554,0.553338722355082,0,0.567275608488331,0.321801615985806,0.969348073374039,0.653808521736127,0.42746558309478,0.804692659812506,0.774596669241483,0.6,0.569632093198321,0.655033450530893,0.429068821314408,0.778654194119976,0.762002471572435,0.580647766682499,0.587580545322399,TRUE
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",24,0.25,0.25,0.25199294320684,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.32278836498897,0.261051456779261,0.254754324606091,NA,0.738948543220739,0.554211407415554,0.556190708920877,0,0.610176213987942,0.372315012116659,0.920402515588189,0.671733361085823,0.451225708395657,0.760094822039156,0.774596669241484,0.6,0.562058020248353,0.70457080279809,0.496420016155546,0.716803639337673,0.819629429145616,0.671792401121569,0.502748446629596,TRUE
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",25,0.25,0.25,0.260378664924727,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.28018681342305,0.261051456779261,0.264013019497363,NA,0.738948543220739,0.554211407415554,0.557719824050128,0,0.565586983117538,0.319888635471998,0.959635691556548,0.664625355355352,0.441726862981228,0.768360444631983,0.774596669241483,0.6,0.580184960175008,0.653083593906117,0.42651818062933,0.766529403986488,0.75973419723303,0.577196050445316,0.571415672165736,TRUE
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",26,0.25,0.25,0.245180023870296,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.35954523566598,0.261051456779261,0.228137225143523,NA,0.738948543220739,0.554211407415554,0.574109148956001,0,0.602894383169865,0.363481637257772,0.945337248729146,0.680968082013544,0.463717528721205,0.747379472394448,0.774596669241484,0.6,0.587140534226382,0.69616246883207,0.484642183010362,0.74855138801652,0.809847987818122,0.655853763373061,0.547062815152152,TRUE
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",27,0.25,0.25,0.243468093963299,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.36910478866928,0.261051456779261,0.245452486385546,NA,0.738948543220739,0.554211407415554,0.57428844424737,0,0.56546464590733,0.319750265771102,0.990304168166215,0.649238709104806,0.421510901400075,0.800060552496022,0.774596669241484,0.6,0.594238978732977,0.652942331063626,0.426333687694802,0.804592450967598,0.759569865724414,0.576946380916604,0.621544491870682,TRUE
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",28,0.25,0.25,0.253574282413752,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.31453919601137,0.261051456779261,0.27941245323403,NA,0.738948543220739,0.554211407415554,0.485372383422688,0,0.536826875258047,0.288183093999318,0.980166538300727,0.626602602212545,0.392630821099534,0.777282520907458,0.774596669241484,0.6,0.522906863738238,0.619874281876918,0.384244125332424,0.792081504310698,0.721101700182748,0.51998766200645,0.605261639864808,TRUE
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",29,0.25,0.25,0.231929431921633,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.4372187719839,0.261051456779261,0.305102354729488,NA,0.738948543220739,0.554211407415554,0.551595825517632,0,0.577548706252929,0.333562508094432,0.995653294339386,0.664250904129687,0.441229263637107,0.79841360711106,0.774596669241483,0.6,0.589244575829062,0.666895802050498,0.444750010792577,0.811167152438718,0.775801982374934,0.601868715856878,0.630032294740736,TRUE
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",30,0.25,0.25,0.251157333266567,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.32718933187409,0.261051456779261,0.233909430673279,NA,0.738948543220739,0.554211407415554,0.573876190712205,0,0.590901589474499,0.349164688443489,0.951709679348449,0.69240355674211,0.479422685389124,0.753649433819974,0.774596669241483,0.6,0.596397654082809,0.682314383495359,0.465552917924652,0.75658309552368,0.793738466625629,0.630020753401204,0.558002261333172,TRUE
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",31,0.25,0.25,0.233747749927172,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.42603868245658,0.261051456779261,0.281063424594626,NA,0.738948543220739,0.554211407415554,0.533277578505547,0,0.588212117380123,0.345993495032808,0.978433075305992,0.680808874088962,0.46350072303828,0.768376994983833,0.774596669241484,0.6,0.579399982236444,0.679208848620028,0.461324660043744,0.789935408447683,0.790125788145409,0.624298761092403,0.602450406871923,TRUE
19,"sc019_q025_rb10_micro-moderate_r260_block_targeted","core",32,0.25,0.25,0.257839390303542,10,"moderate",0.2,0.8,1,0.333333333333333,0.533333333333333,1.33333333333333,50,10,0.6,"block_targeted",40,5,500,1.33333333333333,1.29279445216232,0.261051456779261,0.243958233435096,NA,0.738948543220739,0.554211407415554,0.555058335337245,0,0.58950836332472,0.34752011042979,0.933093445556198,0.676443973344952,0.457576449074706,0.737998017512331,0.774596669241483,0.6,0.561632811147687,0.680705624510126,0.46336014723972,0.73302799728701,0.791866992242269,0.627053333402817,0.525622096212995,TRUE
