Countrycode	Timezone	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	AirQualityStationNatCode	SamplingPoint	SamplingProcess	Sample	AirPollutantCode	AirPollutant	Projection	Longitude	Latitude	Altitude	MeasurementType	MeasurementMethod	AirQualityStationType	AirQualityStationArea	EquivalenceDemonstrated	MeasurementEquipment	InletHeight	BuildingDistance	KerbDistance
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23113	FR23113	FR23113	SPO-FR23113_00038_100	SPP-FR_A_chemi_02000	SPO_F-FR23113_00038_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38	NO	EPSG:4979	nan	nan	40	automatic	chemi	background	urban			5	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23113	FR23113	FR23113	SPO-FR23113_06001_100	SPP-FR_A_TEOM_09000	SPO_F-FR23113_06001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	PM2.5	EPSG:4979	nan	nan	40	automatic	TEOM	background	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23117	FR23117	FR23117	SPO-FR23117_00001_100	SPP-FR_A_UV-FL_12000	SPO_F-FR23117_00001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	SO2	EPSG:4979	nan	nan	30	automatic	UV-FL	traffic	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23117	FR23117	FR23117	SPO-FR23117_00008_100	SPP-FR_A_chemi_02000	SPO_F-FR23117_00008_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	NO2	EPSG:4979	nan	nan	30	automatic	chemi	traffic	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23117	FR23117	FR23117	SPO-FR23117_00010_100	SPP-FR_A_NDIR_07000	SPO_F-FR23117_00010_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10	CO	EPSG:4979	nan	nan	30	automatic	NDIR	traffic	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23117	FR23117	FR23117	SPO-FR23117_00038_100	SPP-FR_A_chemi_02000	SPO_F-FR23117_00038_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38	NO	EPSG:4979	nan	nan	30	automatic	chemi	traffic	urban			5	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23118	FR23118	FR23118	SPO-FR23118_00001_100	SPP-FR_A_UV-FL_12000	SPO_F-FR23118_00001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	SO2	EPSG:4979	nan	nan	33	automatic	UV-FL	background	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23118	FR23118	FR23118	SPO-FR23118_00007_100	SPP-FR_A_UV-P_11000	SPO_F-FR23118_00007_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7	O3	EPSG:4979	nan	nan	33	automatic	UV-P	background	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23118	FR23118	FR23118	SPO-FR23118_00008_100	SPP-FR_A_chemi_02000	SPO_F-FR23118_00008_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	NO2	EPSG:4979	nan	nan	33	automatic	chemi	background	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23119	FR23119	FR23119	SPO-FR23119_00001_100	SPP-FR_A_UV-FL_12000	SPO_F-FR23119_00001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	SO2	EPSG:4979	nan	nan	45	automatic	UV-FL	background	urban			3	-999	-999
