"row_id","Study","Variable","Tier","panel","value","example_label","example_label_text","support_class","support_m","prediction_support","reference_support","bound_noninformative","noninformative_endpoint","point_value","axis_range_value","panel_label","symbol_target"
3,"Meuse--Cd","Log cadmium","Tier 1","Relative error",1,"Meuse--Cd","Meuse--Cd","medium support",100,"100 m grid cell","treated as point soil sample",FALSE,FALSE,1,1,"RMSE / raw","latent reference-support metric"
4,"Meuse--Zn","Log zinc","Tier 1","Relative error",1,"Meuse--Zn","Meuse--Zn","medium support",100,"100 m grid cell","treated as point soil sample",FALSE,FALSE,1,1,"RMSE / raw","latent reference-support metric"
5,"NO2-DE","Annual mean NO2","Tier 1","Relative error",1,"NO2-DE","NO2-DE","large support",2000,"2 km grid cell","monitoring station annual mean",FALSE,FALSE,1,1,"RMSE / raw","latent reference-support metric"
6,"NO2-EU; 50/50 nugget split","Annual mean NO2","Tier 1","Relative error",0.615529905561385,"NO2-EU; 50/50 nugget split","NO2-EU; 50/50 nugget split","medium support",100,"100 m grid cell","AirBase monitoring station",FALSE,FALSE,0.615529905561385,0.615529905561385,"RMSE / raw","latent reference-support metric"
7,"NO2-EU; full nugget microscale","Annual mean NO2","Tier 1","Relative error",1,"NO2-EU; full nugget microscale","NO2-EU; full nugget microscale","medium support",100,"100 m grid cell","AirBase monitoring station",FALSE,FALSE,1,1,"RMSE / raw","latent reference-support metric"
9,"SMAP-CRNS","Soil moisture","Tier 1","Relative error",0.875,"SMAP-CRNS","SMAP-CRNS","large support",9000,"SMAP 9 km pixel","CRNS footprint",FALSE,FALSE,0.875,0.875,"RMSE / raw","latent reference-support metric"
10,"SWE, 10 m","SWE","Tier 1","Relative error",1,"SWE, 10 m, q=0.000","SWE, 10 m, q=0.000","small support",10,"10 m grid cell","local snow survey site",FALSE,FALSE,1,1,"RMSE / raw","latent reference-support metric"
11,"SWE, 10 m","SWE","Tier 1","Relative error",0.987231466509483,"SWE, 10 m, q=0.015","SWE, 10 m, q=0.015","small support",10,"10 m grid cell","local snow survey site",FALSE,FALSE,0.987231466509483,0.987231466509483,"RMSE / raw","latent reference-support metric"
12,"SWE, 100 m","SWE","Tier 1","Relative error",1,"SWE, 100 m, q=0.000","SWE, 100 m, q=0.000","medium support",100,"100 m grid cell","local snow survey site",FALSE,FALSE,1,1,"RMSE / raw","latent reference-support metric"
13,"SWE, 100 m","SWE","Tier 1","Relative error",0.987231466509483,"SWE, 100 m, q=0.015","SWE, 100 m, q=0.015","medium support",100,"100 m grid cell","local snow survey site",FALSE,FALSE,0.987231466509483,0.987231466509483,"RMSE / raw","latent reference-support metric"
